dominio,ip,estado
colla.bo,,no_resuelto
com.bo,,no_resuelto
compras.tigo.com.bo,107.180.2.186,resuelto
compucenter.com.bo,,no_resuelto
comteco.com.bo,200.58.72.105,resuelto
comune.bo,,no_resuelto
comune.imola.bo,,no_resuelto
comunet.bco.com.bo,13.107.246.33,resuelto
comunidadweb.tigo.com.bo,,no_resuelto
constructora.com.bo,,no_resuelto
construyelapaz.bo,,no_resuelto
contacto.com.bo,,no_resuelto
content.buennegocio.bo,,no_resuelto
contigosomos.com.bo,,no_resuelto
controldigital.com.bo,50.6.184.25,resuelto
controller.bo,172.67.145.11,resuelto
cooplatrinidad.com.bo,,no_resuelto
corani.bo,,no_resuelto
correo.anh.gob.bo,200.33.113.70,resuelto
correo.aspb.gob.bo,190.129.60.243,resuelto
correo.azzorti.bo,,no_resuelto
correo.bcb.gob.bo,200.87.133.246,resuelto
correo.bcb.gov.bo,,no_resuelto
correo.cas.com.bo,177.222.56.202,resuelto
correo.comteco.com.bo,200.58.64.120,resuelto
correo.cordillera.com.bo,,no_resuelto
correo.edel.bo,,no_resuelto
correo.et.bo,200.87.176.24,resuelto
correo.evaporiticos.gob.bo,,no_resuelto
correo.labzuna.com.bo,181.188.149.98,resuelto
correo.lbc.bo,,no_resuelto
correo.mscbolivia.com.bo,,no_resuelto
correo.pharmatech.com.bo,,no_resuelto
correo.pilandina.com.bo,,no_resuelto
correo.sie.gob.bo,,no_resuelto
cropscience.bayer.com.bo,99.83.202.119,resuelto
csgess.bo,,no_resuelto
csgmuc.bo,,no_resuelto
dabalash.com.bo,,no_resuelto
dataline.com.bo,,no_resuelto
datax.com.bo,172.67.140.127,resuelto
demo.bnb.com.bo,200.105.136.68,resuelto
demo.pda.nexion.com.bo,20.75.112.13,resuelto
dentalcare.com.bo,,no_resuelto
denuncias.tecnofarma.com.bo,20.14.134.234,resuelto
descubre.bo,52.23.40.69,resuelto
despegar.com.bo,44.210.62.4,resuelto
dev.fgt.bo,,no_resuelto
dialin.bancosol.com.bo,200.10.156.46,resuelto
dialin.fcet.uagrm.edu.bo,200.87.234.22,resuelto
dialin.fino.com.bo,200.87.195.75,resuelto
dialin.ipe.bo,,no_resuelto
dialin.organojudicial.gob.bo,,no_resuelto
dialin.ypfbrefinacion.com.bo,181.188.148.163,resuelto
digikey.bo,204.221.76.76,resuelto
dima.com.bo,134.122.43.38,resuelto
distro.com.bo,,no_resuelto
dixman.com.bo,23.227.38.65,resuelto
dm.ypfbchaco.com.bo,,no_resuelto
dn1.cerroalto.com.bo,,no_resuelto
doc.gesdoctdb.com.bo,,no_resuelto
docs.uap.edu.bo,158.172.155.221,resuelto
drivejoy.com.bo,,no_resuelto
e-dublin.com.bo,,no_resuelto
easytaxi.bo,34.228.211.79,resuelto
easytaxi.com.bo,3.95.114.241,resuelto
ebank.bco.com.bo,,no_resuelto
ebank.bo,,no_resuelto
ebank.fco.com.bo,,no_resuelto
ecofuturo.com.bo,,no_resuelto
econet.ecofuturo.com.bo,,no_resuelto
economiayfinanzas.gob.bo,200.75.171.4,resuelto
ecre.bo,83.138.142.44,resuelto
edel.bo,,no_resuelto
editorialestado.bo,,no_resuelto
edu.bo,,no_resuelto
eies.com.bo,167.86.108.223,resuelto
eje.edu.bo,148.113.213.231,resuelto
eje.gob.bo,148.113.213.231,resuelto
ekeko.com.bo,,no_resuelto
elche.com.bo,,no_resuelto
elfaro.org.bo,162.241.85.246,resuelto
email.icefranco.edu.bo,,no_resuelto
encuentraloya.com.bo,,no_resuelto
ende.bo,200.87.69.212,resuelto
enklave.org.bo,,no_resuelto
entel.bo,,no_resuelto
entel.cuentas.bo,70.35.195.240,resuelto
entelnet.bo,200.87.100.30,resuelto
entidades.sicoes.gob.bo,,no_resuelto
entradas.com.bo,,no_resuelto
erp.c1.com.bo,,no_resuelto
erp.poc.com.bo,188.245.177.157,resuelto
erp.udabol.edu.bo,181.188.152.179,resuelto
erpmobile.obairlines.bo,190.181.5.201,resuelto
eskaparate.com.bo,,no_resuelto
estudiantes.uajms.edu.bo,200.87.27.238,resuelto
et.bo,200.87.176.8,resuelto
etika.com.bo,185.230.63.107,resuelto
evh.bo,50.87.239.132,resuelto
extranet.chaco.com.bo,,no_resuelto
extranet.ipe.bo,190.181.20.43,resuelto
extranet.ypfbchaco.com.bo,200.87.247.12,resuelto
eye.bo,,no_resuelto
fab.bo,181.115.239.154,resuelto
facebook.boliviacomercio.org.bo,104.247.81.99,resuelto
factory.com.bo,,no_resuelto
fassil.com.bo,186.121.223.85,resuelto
fassilnet.com.bo,190.104.17.210,resuelto
fco.com.bo,,no_resuelto
federa01.unioneappennino.bo,,no_resuelto
felipepalazon.edu.bo,160.153.48.0,resuelto
fgt.bo,,no_resuelto
fienet.bancofie.com.bo,45.229.195.21,resuelto
fino.com.bo,192.124.249.70,resuelto
fiposi.org.bo,,no_resuelto
flores.com.bo,52.70.51.107,resuelto
floresonline.com.bo,198.54.116.91,resuelto
flujos.bmsc.com.bo,,no_resuelto
fo.com.bo,147.93.65.238,resuelto
formacion.eje.edu.bo,148.113.213.231,resuelto
fotocasa.bo,,no_resuelto
fotomendez.com.bo,,no_resuelto
fotos.com.bo,,no_resuelto
fs.cognos.com.bo,,no_resuelto
fs.madisa.com.bo,,no_resuelto
ftps.ypfb-andina.com.bo,200.87.198.182,resuelto
fundaciondemmer.org.bo,,no_resuelto
gananet.bg.com.bo,200.58.165.37,resuelto
gapps.servapet.com.bo,162.144.15.241,resuelto
gaze.bo,185.199.109.153,resuelto
geindustrial.com.bo,,no_resuelto
geo.gob.bo,200.87.148.73,resuelto
giros.tigo.com.bo,,no_resuelto
gitlab.geo.gob.bo,,no_resuelto
gob.bo,190.14.106.3,resuelto
google.bo,64.233.190.147,resuelto
google.com.bo,108.177.123.94,resuelto
gov.bo,,no_resuelto
gparada@bg.com.bo,,no_resuelto
grupon.com.bo,,no_resuelto
grupones.com.bo,,no_resuelto
gtbmm.kin.bo,,no_resuelto
gum.bo,,no_resuelto
h5vco.bmw.com.bo,160.46.226.241,resuelto
h5vco.mini.com.bo,160.46.226.240,resuelto
h5vcoi.bmw.com.bo,160.46.228.194,resuelto
h5vcoi.mini.com.bo,160.46.228.92,resuelto
h5vcot.bmw.com.bo,160.48.212.147,resuelto
h5vcot.mini.com.bo,160.46.228.193,resuelto
handsome-light.com.bo,,no_resuelto
headandshoulders.com.bo,,no_resuelto
healthcare.siemens.bo,,no_resuelto
hee.bo,,no_resuelto
hiplus.com.bo,,no_resuelto
host.grupones.com.bo,,no_resuelto
hoteles.com.bo,,no_resuelto
html5.fassilnet.com.bo,,no_resuelto
hydro.anh.gob.bo,200.33.113.100,resuelto
ialcocer@losandesprocredit.com.bo,,no_resuelto
icap.com.bo,,no_resuelto
idra.bo,,no_resuelto
ids.provincia.bo,,no_resuelto
idsfedera.provincia.bo,,no_resuelto
im.chaco.com.bo,,no_resuelto
im.com.bo,,no_resuelto
im.entel.bo,200.87.142.27,resuelto
im.ipe.bo,,no_resuelto
im.ypfbchaco.com.bo,,no_resuelto
imagensrl.com.bo,,no_resuelto
imap.madisa.com.bo,,no_resuelto
imola.bo,,no_resuelto
impuestos.gob.bo,170.82.244.41,resuelto
info@asoban.bo,,no_resuelto
infocenter.com.bo,177.222.107.44,resuelto
infocred.bo,104.47.37.36,resuelto
infocred.com.bo,,no_resuelto
ingresatuclave.com.bo,,no_resuelto
inmuebles.ruat.net.bo,,no_resuelto
int.bmw-connecteddrive.bo,,no_resuelto
int.bmw-i-connecteddrive.bo,,no_resuelto
intra.pnud.bo,190.104.28.4,resuelto
intranet.geo.gob.bo,,no_resuelto
ipe.bo,198.12.232.43,resuelto
ipfs.kin.bo,,no_resuelto
isabela.com.bo,,no_resuelto
issasierra.com.bo,,no_resuelto
joga.bo,,no_resuelto
just.bo,,no_resuelto
kairos.com.bo,,no_resuelto
kan.bo,,no_resuelto
kcprofessional.com.bo,172.67.157.20,resuelto
kilde.com.bo,,no_resuelto
kimberly-clark.bo,,no_resuelto
kimberly-clark.com.bo,172.64.155.80,resuelto
kin.bo,,no_resuelto
koo.bo,,no_resuelto
krdo.bo,,no_resuelto
krdoweb.bo,,no_resuelto
lacoloniahotel.com.bo,,no_resuelto
lasalle.org.bo,212.28.185.94,resuelto
laspalmas.com.bo,66.235.200.147,resuelto
lbc.bo,3.131.150.34,resuelto
ldf.losandesprocredit.com.bo,,no_resuelto
letmego.bo,,no_resuelto
lex.com.bo,,no_resuelto
lfbomail01.bo,,no_resuelto
librosya.com.bo,,no_resuelto
lm.eldeber.com.bo,,no_resuelto
lm.fino.com.bo,200.87.195.73,resuelto
lm.poderjudicial.gob.bo,,no_resuelto
login.monster.com.bo,,no_resuelto
login.tigo.com.bo,44.223.125.78,resuelto
losandesprocredit.com.bo,,no_resuelto
loveorlandotickets.com.bo,,no_resuelto
lpach01.losandesprocredit.com.bo,,no_resuelto
lpz.accl.bo,200.12.253.35,resuelto
lsrp.bancosol.com.bo,200.10.156.46,resuelto
lsrp.fcet.uagrm.edu.bo,200.87.234.22,resuelto
lsrp.fino.com.bo,200.87.195.75,resuelto
lsrp.ipe.bo,,no_resuelto
lsrp.organojudicial.gob.bo,,no_resuelto
lsrp.ypfbrefinacion.com.bo,181.188.148.163,resuelto
lync.cognos.com.bo,,no_resuelto
lync.mingobierno.gob.bo,,no_resuelto
lyncdiscover.alphasys.com.bo,,no_resuelto
lyncdiscover.bancosol.com.bo,200.10.156.46,resuelto
lyncdiscover.cbn.com.bo,212.41.133.164,resuelto
lyncdiscover.cognos.com.bo,,no_resuelto
lyncdiscover.fcet.uagrm.edu.bo,200.87.234.22,resuelto
lyncdiscover.fino.com.bo,200.87.195.75,resuelto
lyncdiscover.ipe.bo,,no_resuelto
lyncdiscover.organojudicial.gob.bo,,no_resuelto
lyncdiscover.ypfbrefinacion.com.bo,181.188.148.163,resuelto
lyncdiscoverinternal.alphasys.com.bo,,no_resuelto
lynclpzedge.alphasys.com.bo,181.115.157.211,resuelto
lynclpzportal.alphasys.com.bo,,no_resuelto
madisa.com.bo,198.199.70.168,resuelto
mail.agroincosrl.com.bo,,no_resuelto
mail.anh.gob.bo,200.33.113.70,resuelto
mail.aps.gob.bo,190.129.60.180,resuelto
mail.bcb.gob.bo,190.129.70.26,resuelto
mail.bmsc.com.bo,143.0.101.21,resuelto
mail.bo,,no_resuelto
mail.cainco.org.bo,177.222.40.7,resuelto
mail.dima.com.bo,190.181.46.132,resuelto
mail.ecofuturo.com.bo,,no_resuelto
mail.economiayfinanzas.gob.bo,200.75.171.21,resuelto
mail.edv.com.bo,190.181.59.230,resuelto
mail.gapps.servapet.com.bo,162.144.15.241,resuelto
mail.ipe.bo,,no_resuelto
mail.justicia.gob.bo,200.105.172.99,resuelto
mail.lbc.bo,190.129.60.237,resuelto
mail.madisa.com.bo,52.101.40.6,resuelto
mail.pasbol.com.bo,,no_resuelto
mail.pilandina.com.bo,,no_resuelto
mail.potenza.com.bo,148.251.119.178,resuelto
mail.prendamas.net.bo,,no_resuelto
mail.prodem.bo,,no_resuelto
mail.redenlace.com.bo,190.111.178.10,resuelto
mail.rree.gob.bo,190.129.69.2,resuelto
mail.sergeomin.gob.bo,200.105.164.182,resuelto
mail.t-s.bo,,no_resuelto
mail.tecnofarma.com.bo,,no_resuelto
mail.terrasur.com.bo,,no_resuelto
mail.ucbcba.edu.bo,,no_resuelto
mail.ucbtja.edu.bo,181.188.156.194,resuelto
mail.uif.gob.bo,200.75.167.12,resuelto
mail.upds.edu.bo,,no_resuelto
mail.ypfbaviacion.com.bo,200.87.198.35,resuelto
mail2.tecnofarma.com.bo,,no_resuelto
mailer.bo,,no_resuelto
mailer2.bo,,no_resuelto
mainter.com.bo,179.43.118.54,resuelto
mana.bo,172.67.173.152,resuelto
manosegunda.bo,,no_resuelto
mariani.bo,,no_resuelto
marketingnews.com.bo,,no_resuelto
matservice.com.bo,173.236.251.140,resuelto
mazda.bo,52.3.120.241,resuelto
mbt.novalink.com.bo,161.22.43.95,resuelto
meet.alphasys.com.bo,,no_resuelto
meet.bancosol.com.bo,,no_resuelto
meet.cbn.com.bo,,no_resuelto
meet.fcet.uagrm.edu.bo,200.87.234.22,resuelto
meet.fino.com.bo,200.87.195.75,resuelto
meet.ipe.bo,,no_resuelto
meet.organojudicial.gob.bo,190.104.31.219,resuelto
meet.ypfbrefinacion.com.bo,181.188.148.163,resuelto
megashop.com.bo,,no_resuelto
mercado.com.bo,,no_resuelto
mi.com.bo,,no_resuelto
mi.pagosnet.com.bo,200.87.192.74,resuelto
mijn.bo,,no_resuelto
minedu.gob.bo,186.121.222.106,resuelto
minegocio.bo,108.163.250.18,resuelto
mira.com.bo,51.79.80.183,resuelto
miradordelurubo.com.bo,,no_resuelto
mk.com.bo,207.174.212.237,resuelto
mlm.tierradorada.com.bo,,no_resuelto
mnew.bo,,no_resuelto
monitoreo.dataline.com.bo,,no_resuelto
mor.bo,195.35.60.222,resuelto
motion.com.bo,216.137.177.161,resuelto
mrdelivery.com.bo,104.21.79.21,resuelto
msoid.madisa.com.bo,,no_resuelto
multipago.com.bo,52.3.188.165,resuelto
municipios.ruat.net.bo,,no_resuelto
mvacac@bg.com.bo,,no_resuelto
mx0.bo,,no_resuelto
mxbsc.bo,,no_resuelto
mxche.bo,,no_resuelto
mxess.bo,,no_resuelto
mxham1.bo,,no_resuelto
mxmuc.bo,,no_resuelto
mxstu.bo,,no_resuelto
my.ingresatuclave.com.bo,,no_resuelto
nadine.com.bo,,no_resuelto
naranjaweb.com.bo,,no_resuelto
ncore.com.bo,,no_resuelto
nerdsonsite.bo,,no_resuelto
net.bo,,no_resuelto
netcard.com.bo,34.174.187.9,resuelto
newton.impuestos.gov.bo,,no_resuelto
nic.bo,166.114.1.28,resuelto
nnikulina@accl.bo,,no_resuelto
novalink.com.bo,161.22.43.95,resuelto
nuclear.bo,195.250.27.211,resuelto
nuevo.bnb.com.bo,200.105.136.97,resuelto
obairlines.bo,,no_resuelto
octopay.com.bo,,no_resuelto
ofertropolis.com.bo,,no_resuelto
officewebapp.alphasys.com.bo,,no_resuelto
oma.losandesprocredit.com.bo,,no_resuelto
op.novalink.com.bo,161.22.43.95,resuelto
opal.bo,154.38.183.118,resuelto
org.bo,,no_resuelto
origin.kcprofessional.com.bo,,no_resuelto
origin.kimberly-clark.com.bo,,no_resuelto
orvana.com.bo,,no_resuelto
ossyris.org.bo,,no_resuelto
owa.bcb.gob.bo,,no_resuelto
owa.bo,,no_resuelto
owa.cordillera.com.bo,,no_resuelto
owa.eldeber.com.bo,104.21.55.41,resuelto
owa.fino.com.bo,200.87.195.83,resuelto
owa.pilandina.com.bo,,no_resuelto
owa.procuraduria.gob.bo,190.181.4.100,resuelto
owa.rree.gob.bo,,no_resuelto
owa.ypfblogistica.com.bo,190.104.22.251,resuelto
pagoexpress.com.bo,,no_resuelto
pantene.bo,,no_resuelto
pantene.com.bo,,no_resuelto
paraescudrinadores.com.bo,,no_resuelto
pbex01.pasbol.com.bo,,no_resuelto
petromar.bo,,no_resuelto
pg-cdn.bo,,no_resuelto
pharmatech.com.bo,,no_resuelto
pic.bo,,no_resuelto
planbolivia.planificacion.gob.bo,200.105.196.246,resuelto
pnud.bo,,no_resuelto
pocket.bo,,no_resuelto
popbc.com.bo,,no_resuelto
portal.bancosol.com.bo,200.10.156.102,resuelto
portal.bco.com.bo,13.107.246.33,resuelto
portal.provincia.bo,,no_resuelto
portalmre.rree.gob.bo,186.121.249.55,resuelto
pos.redenlace.com.bo,190.111.178.178,resuelto
posta.bo,,no_resuelto
postgradoutb.edu.bo,104.37.184.183,resuelto
postmaster@uajms.edu.bo,,no_resuelto
potosi.com.bo,74.50.72.242,resuelto
potosina.bo,164.68.120.214,resuelto
premier.com.bo,162.240.163.211,resuelto
preview-production-pdp.sony.com.bo,2.18.20.142,resuelto
price.bo,,no_resuelto
procuraduria.gob.bo,181.115.195.45,resuelto
prodem.bo,45.4.99.16,resuelto
prodemnet.prodem.bo,45.4.99.20,resuelto
produccion.segip.gob.bo,,no_resuelto
production-pdp.sony.com.bo,2.18.20.136,resuelto
provincia.bo,,no_resuelto
proyscz.bancruznet.com.bo,,no_resuelto
prtg.fo.com.bo,,no_resuelto
puertoseguro.com.bo,216.172.184.39,resuelto
puertovillarroel.gob.bo,67.212.179.163,resuelto
qualitat.com.bo,194.238.24.241,resuelto
queplanes.bo,,no_resuelto
quinuasindan.com.bo,,no_resuelto
rabank.bo,,no_resuelto
raileurope.com.bo,63.34.90.62,resuelto
redenlace.com.bo,,no_resuelto
regular.sie.gob.bo,,no_resuelto
remote.bo,,no_resuelto
restaurantdonmiguel.com.bo,5.196.65.149,resuelto
roemmers.com.bo,,no_resuelto
ropa.ventas.info.bo,148.163.71.117,resuelto
rp.bmsc.com.bo,143.0.101.21,resuelto
rpc.ypfbchaco.com.bo,200.87.247.11,resuelto
ruat.gob.bo,181.115.195.56,resuelto
ruat.net.bo,,no_resuelto
saberespoder.com.bo,190.186.38.35,resuelto
salazar-law.bo,,no_resuelto
salazar.salazar-law.bo,,no_resuelto
salvatuagenda.tigo.com.bo,85.9.53.185,resuelto
samra.com.bo,212.1.212.182,resuelto
sanlorenzo.colcapirhua.gob.bo,50.28.14.108,resuelto
sanmateo.com.bo,173.212.209.142,resuelto
sapcon.com.bo,192.64.117.82,resuelto
sawers.com.bo,104.21.17.127,resuelto
sbda.org.bo,198.38.77.165,resuelto
scrigno.com.bo,,no_resuelto
scz.accl.bo,200.12.253.35,resuelto
sczvmex01.dima.com.bo,,no_resuelto
sczvmex02.dima.com.bo,,no_resuelto
sczvmex05.tigo.net.bo,,no_resuelto
sczvmex07.tigo.net.bo,,no_resuelto
secure.ades.com.bo,,no_resuelto
secure.aventura.fanta.com.bo,205.218.56.154,resuelto
secure.bo,,no_resuelto
secure.cab.com.bo,198.252.102.50,resuelto
secure.cocacolazero.com.bo,52.14.144.171,resuelto
secure.comparteundeseo.coca-cola.com.bo,205.139.139.106,resuelto
secure.despegar.com.bo,,no_resuelto
secure.fanta.com.bo,,no_resuelto
secure.impulsefragrances.com.bo,,no_resuelto
secure.imusic.coca-cola.com.bo,216.64.208.103,resuelto
secure.kcprofessional.com.bo,,no_resuelto
secure.kimberly-clark.com.bo,,no_resuelto
secure.labanderadetodos.coca-cola.com.bo,205.218.11.160,resuelto
secure.m.tresemme.com.bo,2.21.10.238,resuelto
secure.sedal.com.bo,,no_resuelto
secure.sprite.com.bo,52.14.144.171,resuelto
secure.tresemme.com.bo,,no_resuelto
secure.xmas.coca-cola.com.bo,205.218.9.240,resuelto
segip.gob.bo,,no_resuelto
self-storage.bo,,no_resuelto
semexa.com.bo,,no_resuelto
sertek.com.bo,191.101.104.23,resuelto
server.entradas.com.bo,,no_resuelto
server1.www1.kcprofessional.com.bo,,no_resuelto
server1.www2.kcprofessional.com.bo,,no_resuelto
server2.www1.kcprofessional.com.bo,,no_resuelto
server2.www2.kcprofessional.com.bo,,no_resuelto
server3.www1.kcprofessional.com.bo,,no_resuelto
server3.www2.kcprofessional.com.bo,,no_resuelto
server4.www1.kcprofessional.com.bo,,no_resuelto
server4.www2.kcprofessional.com.bo,,no_resuelto
server5.www1.kimberly-clark.com.bo,,no_resuelto
server5.www2.kimberly-clark.com.bo,,no_resuelto
server6.www1.kimberly-clark.com.bo,,no_resuelto
server6.www2.kimberly-clark.com.bo,,no_resuelto
server7.www1.kimberly-clark.com.bo,,no_resuelto
server7.www2.kimberly-clark.com.bo,,no_resuelto
server8.www1.kimberly-clark.com.bo,,no_resuelto
server8.www2.kimberly-clark.com.bo,,no_resuelto
server9.www1.kimberly-clark.com.bo,,no_resuelto
server9.www2.kimberly-clark.com.bo,,no_resuelto
servicios.bancounion.com.bo,,no_resuelto
servicios.bcp.com.bo,,no_resuelto
servicios.infoedictos.com.bo,,no_resuelto
servicios.lbc.bo,181.188.136.7,resuelto
sexyhair.com.bo,204.74.99.103,resuelto
shopping.tigo.com.bo,,no_resuelto
siaa.ucbcba.edu.bo,,no_resuelto
siemens.bo,,no_resuelto
sigep.sigma.gob.bo,,no_resuelto
siic.infocalcbba.edu.bo,190.181.22.246,resuelto
sip.alphasys.com.bo,181.115.157.211,resuelto
sip.bancosol.com.bo,,no_resuelto
sip.bo,,no_resuelto
sip.cbn.com.bo,212.41.133.107,resuelto
sip.cognos.com.bo,,no_resuelto
sip.dima.com.bo,,no_resuelto
sip.fcet.uagrm.edu.bo,200.87.234.22,resuelto
sip.fino.com.bo,200.87.195.89,resuelto
sip.lynclpz.alphasys.com.bo,,no_resuelto
sip.petrex.com.bo,,no_resuelto
sip.petromar.bo,,no_resuelto
sip.ypfbrefinacion.com.bo,,no_resuelto
sipexternal.bancosol.com.bo,200.10.156.40,resuelto
sipexternal.eldeber.com.bo,,no_resuelto
sipexternal.fcet.uagrm.edu.bo,200.87.234.19,resuelto
sipexternal.fino.com.bo,200.87.195.89,resuelto
sipexternal.ipe.bo,,no_resuelto
sipexternal.organojudicial.gob.bo,190.104.31.215,resuelto
sipexternal.poderjudicial.gob.bo,,no_resuelto
sipexternal.ypfbrefinacion.com.bo,181.188.148.164,resuelto
siremi.gob.bo,,no_resuelto
siremi.santacruz.gob.bo,181.188.148.22,resuelto
sis.activetrack.com.bo,178.16.128.65,resuelto
siso.uif.gob.bo,200.75.167.16,resuelto
